亜（亞）	ア	亜流，亜麻，亜熱帯	　
塩（鹽）	エン　しお	塩分，塩酸，食塩塩，塩辛い	　
演	エン	演技，演奏，講演	　
縁（緣）	エン　ふち	縁故，縁日，血縁縁，縁取り，額縁	「因縁」は，「インネン」。
艶（艷）	エン　つや	妖艶艶，色艶	　
汚	オ　けがす　けがれる　けがらわしい　よごす　よごれる　きたない	汚点，汚物，汚名汚す汚れる，汚れ汚らわしい汚す，口汚し汚れる，汚れ，汚れ物汚い，汚らしい	　
王	オウ	王子，帝王	「親王」，「勤王」などは，「シンノウ」，「キンノウ」。
凹	オウ	凹凸，凹面鏡，凹レンズ	凸凹（でこぼこ）
央	オウ	中央	　
応（應）	オウ　　こたえる	応答，応用，呼応応える	「反応」，「順応」などは，「ハンノウ」，「ジュンノウ」。⇔答える
往	オウ	往復，往来，既往症	　
押	オウ　おす　おさえる	押収，押印，押韻押す，押し押さえる，押さえ	⇔推す⇔抑える
旺	オウ	旺盛	　
欧（歐）	オウ	欧文，西欧，渡欧	　
殴（毆）	オウ　なぐる	殴打殴る	　
桜（櫻）	オウ　さくら	桜花，観桜桜，桜色，葉桜	　
翁	オウ	老翁	　
奥（奧）	オウ　おく	奥義，深奥奥，奥底，奥さん	「奥義」は，「おくギ」とも。 
横（橫）	オウ　よこ	横断，横領，専横横，横顔，横たわる	　
岡	　おか		岡山県，静岡県，福岡県
屋	オク　や	屋上，屋外，家屋屋根，花屋，楽屋	母屋（おもや）部屋（へや）⇔家
億	オク	億万，一億	　
憶	オク	記憶，追憶	　
臆	オク	臆説，臆測，臆病	「臆説」，「臆測」は，「憶説」，「憶測」とも書く。
虞	おそれ	虞	　
乙	オツ	乙種，甲乙	乙女（おとめ）
俺	おれ	俺	　
卸	おろす　おろし	卸す卸，卸商	⇔下ろす，降ろす
音	オン　イン　おと　ね	音楽，発音，騒音福音，母音音，物音音，音色	「観音」は，「カンノン」。
恩	オン	恩情，恩人，謝恩	　
温（溫）	オン　あたたか　あたたかい　あたたまる　あたためる	温暖，温厚，気温温かだ温かい温まる温める	⇔暖か⇔暖かい⇔暖まる⇔暖める
穏（穩）	オン　おだやか	穏和，穏当，平穏穏やかだ	「安穏」は，「アンノン」。
下	カ　ゲ　した　しも　もと　さげる　さがる　くだる　くだす　くださる　おろす　おりる	下流，下降，落下下水，下車，上下下，下見下，川下下，足下下げる下がる下る，下り下す下さる下ろす，書き下ろす下りる	下手（へた）⇔元，本，基⇔提げる⇔卸す，降ろす⇔降りる
化	カ　ケ　ばける　ばかす	化石，化学，文化化粧，化身，権化化ける，お化け化かす	　
火	カ　ひ　　ほ	火災，灯火，発火火，火花，炭火火影	⇔灯
加	カ　くわえる　くわわる	加入，加減，追加加える加わる	　
可	カ	可否，可能，許可	　
仮（假）	カ　　ケ　かり	仮面，仮定，仮装仮病仮の住まい，仮に，仮処分	仮名（かな）
